file,display_name,tags,source,aliases
350org.png,350.org,advocacy,gwec-proposal-2026-08,
3ie.png,3ie,,logo-build-2026-09,International Initiative for Impact evaluation; International Initiative for Impact Evaluation
abpi.png,ABPI,healthcare,logo-build-2026-09,The Association of the British Pharmaceutical Industry (ABPI); Association of the British Pharmaceutical Industry
abu-dhabi-crown-prince-court.png,Abu Dhabi Crown Prince Court,government,logo-build-2026-09,
abu-dhabi-dmt.png,Abu Dhabi Department of Municipalities and Transport,government,logo-build-2026-09,Abu Dhabi Department of Transport; UAE Department of Municipal Affairs; UAE Department of Urban Planning and Municipalities; Abu Dhabi Department of Urban Planning and Municipalities
abu-dhabi-fund-for-development.png,Abu Dhabi Fund for Development,,logo-build-2026-09,
abu-dhabi-ports.png,Abu Dhabi Ports,aviation,sector-expansion-2026-08-14,ADPC
abu-dhabi-qcc.png,Abu Dhabi Quality and Conformity Council,government,logo-build-2026-09,
acca.png,ACCA,,logo-build-2026-09,
accenture.png,Accenture,wall,skoda-proposal-v2-2026-08,
accor.png,Accor,,logo-build-2026-09,Pullman Dubai Creek City Centre; AccorHotels Middle East & Africa
accountancy-europe.png,Accountancy Europe,,logo-build-2026-09,Federation of European Accountants (FEE)
ace-uk.png,Association for Consultancy and Engineering,construction,logo-build-2026-09,
aci.png,Airports Council International,aviation,logo-build-2026-09,Airports Council International Europe
action-for-children.png,Action for Children,,logo-build-2026-09,
ada-university.png,ADA University,,logo-build-2026-09,
adcb.png,ADCB,finance,logo-build-2026-09,Abu Dhabi Commercial Bank; Union National Bank
addax-petroleum.png,Addax Petroleum,energy,logo-build-2026-09,Addax
adgm.png,Abu Dhabi Global Market,finance,sector-expansion-2026-08-14,
adia.png,Abu Dhabi Investment Authority,finance,logo-build-2026-09,
adib.png,Abu Dhabi Islamic Bank,finance,sector-expansion-2026-08,
adidas.png,Adidas,wall,skoda-proposal-v2-2026-08,
adnoc.png,ADNOC,energy,sector-expansion-2026-08,ADGAS; ADMA OPCO; National Drilling Company; Al Hosn Gas
adq.png,ADQ,government,sector-expansion-2026-08-14,L'IMAD (formerly ADQ)
ae-networks.png,A+E Global Media,,logo-build-2026-09,A+E Networks UK
aeb.png,Association of European Businesses,,logo-build-2026-09,
aecom.png,AECOM,construction,keo-proposal-2026-08,
afcons.png,Afcons,construction,keo-proposal-2026-08,
afreximbank.png,Afreximbank,finance,logo-build-2026-09,African Export - Import Bank
agco.png,AGCO,,logo-build-2026-09,
aggreko.png,Aggreko,energy,logo-build-2026-09,
agra.png,AGRA,advocacy,gwec-proposal-2026-08,Alliance for a Green Revolution in Africa AGRA
ahmed-seddiqi.png,Ahmed Seddiqi,,logo-build-2026-09,Ahmed Seddiqi & Sons
aig.png,AIG,wall,skoda-proposal-v2-2026-08,AIG MEA
airbnb.png,Airbnb,wall,skoda-proposal-v2-2026-08,
airbus.png,Airbus,wall,skoda-proposal-v2-2026-08,
akzonobel.png,AkzoNobel,wall,skoda-proposal-v2-2026-08,
al-futtaim.png,Al-Futtaim,,logo-build-2026-09,Dubai Festival City Shopping Centres Hotels; Orient Insurance
al-nasr-club.png,Al Nasr Club,,logo-build-2026-09,
alba.png,Alba,,logo-build-2026-09,Aluminium Bahrain (ALBA);Aluminium Bahrain;Aluminum Bahrain
alcon.png,Alcon,healthcare,logo-build-2026-09,
alcs.png,ALCS,,logo-build-2026-09,
alexion.png,Alexion,healthcare,sector-expansion-2026-08,
alfanar.png,alfanar,,logo-build-2026-09,
allianz.png,Allianz,finance,logo-build-2026-09,Euler Hermes
alstom.png,Alstom,wall,skoda-proposal-v2-2026-08,
alvean.png,Alvean,,logo-build-2026-09,
alwaleed-philanthropies.png,Alwaleed Philanthropies,,logo-build-2026-09,Alwaleed Bin Talal Foundation
amadeus.png,Amadeus,technology,logo-build-2026-09,Amadeus Data Processing
american-college-of-radiology.png,American College of Radiology,healthcare,logo-build-2026-09,
american-tower.png,American Tower,,logo-build-2026-09,Americantower
anglo-american.png,Anglo American,,logo-build-2026-09,Anglo Operations (PTY)
anglogold-ashanti.png,AngloGold Ashanti,,logo-build-2026-09,
anti-doping-lab-qatar.png,Anti-Doping Lab Qatar,,logo-build-2026-09,Qatar Anti-Doping Lab
apple.png,Apple,wall,skoda-proposal-v2-2026-08,
aramco.png,Aramco,wall,skoda-proposal-v2-2026-08,Saudi Aramco; SASREF
arasco.png,ARASCO,,logo-sourcing-2026-09,Arabian Agricultural Services Company
art-dubai.png,Art Dubai,,logo-build-2026-09,Art Dubai Fair FZ
arthur-d-little.png,Arthur D. Little,,logo-build-2026-09,
asian-development-bank.png,Asian Development Bank,wall,skoda-proposal-v2-2026-08,
asyad.png,Asyad Group,aviation,sector-expansion-2026-08-14,Oman Global Logistics Group; Oman Shipping Company
auc.png,The American University in Cairo,,logo-build-2026-09,
audi.png,Audi,wall,skoda-proposal-v2-2026-08,
aus.png,American University of Sharjah,,logo-build-2026-09,
autodesk.png,Autodesk,technology,sector-expansion-2026-08,
avid.png,Avid,technology,logo-build-2026-09,
aviva.png,Aviva,finance,logo-build-2026-09,
aw-rostamani.png,AW Rostamani,automotive,logo-build-2026-09,Arabian Automobiles Company
axa.png,AXA,finance,logo-build-2026-09,AXA IM Paris; AXA Investment Managers; AXA XL
azercell.png,Azercell,,logo-build-2026-09,
bae-systems.png,BAE Systems,wall,skoda-proposal-v2-2026-08,
bahamas-ministry-of-education.png,"Bahamas Ministry of Education, Science and Technology",government,logo-build-2026-09,
bahrain-ministry-of-education.png,Bahrain Ministry of Education,government,logo-build-2026-09,
bahrain-ministry-of-foreign-affairs.png,Bahrain Ministry of Foreign Affairs,government,logo-build-2026-09,
bahrain-ministry-of-interior.png,Bahrain Ministry of Interior,government,logo-build-2026-09,
bangko-sentral-ng-pilipinas.png,Bangko Sentral ng Pilipinas,,logo-sourcing-2026-09,Central Bank of Philippines;Central Bank of the Philippines
bank-dhofar.png,Bank Dhofar,finance,logo-build-2026-09,
bank-indonesia.png,Bank Indonesia,finance,logo-build-2026-09,Bank of Indonesia Bengkulu; Central Bank of Indonesia
bank-of-beirut.png,Bank of Beirut,finance,logo-build-2026-09,
bank-of-england.png,Bank of England,finance,sector-expansion-2026-08,
bank-of-industry-nigeria.png,Bank of Industry,finance,logo-build-2026-09,Bank of Industry Nigeria
bank-of-korea.png,Bank of Korea,finance,sector-expansion-2026-08,
bank-of-mozambique.png,Bank of Mozambique,finance,logo-build-2026-09,
bank-of-tanzania.png,Bank of Tanzania,finance,logo-build-2026-09,
bank-of-zambia.png,Bank of Zambia,finance,logo-build-2026-09,
bapco.png,Bapco Energies,energy,sector-expansion-2026-08-14,BAPCO; BAPCO Refining; BAPCO Upstream
barclays.png,Barclays,wall,skoda-proposal-v2-2026-08,
barco.png,Barco,technology,logo-build-2026-09,Barco nv
barilla.png,Barilla,,logo-build-2026-09,Barilla G. e R. Fratelli
basf.png,BASF,wall,skoda-proposal-v2-2026-08,
bayer.png,Bayer,wall,skoda-proposal-v2-2026-08,
bcg.png,Boston Consulting Group,,logo-build-2026-09,The Boston Consulting Group
beiersdorf.png,Beiersdorf,healthcare,sector-expansion-2026-08,
beko.png,Beko,,logo-build-2026-09,
belize-telemedia.png,Belize Telemedia,,logo-build-2026-09,
bis.png,Bank for International Settlements,finance,sector-expansion-2026-08-14,
bmmi.png,BMMI,,logo-build-2026-09,
bnp-paribas.png,BNP Paribas,finance,sector-expansion-2026-08,
bomra.png,Botswana Medicines Regulatory Authority,government,logo-build-2026-09,
borouge.png,Borouge,,logo-build-2026-09,
bosch.png,Bosch,wall,skoda-proposal-v2-2026-08,
botswana-defence-force.png,Botswana Defence Force,government,logo-build-2026-09,
bp.png,BP,wall,skoda-proposal-v2-2026-08,BP Angola; BP Oman
british-airways.png,British Airways,wall,skoda-proposal-v2-2026-08,
british-council.png,British Council,wall,skoda-proposal-v2-2026-08,
brunei-fertilizer-industries.png,Brunei Fertilizer Industries,,logo-build-2026-09,Brunei Fertilizer Industry (BFI)
