target,status,file,display_name,organisation_identified,channel,source_url,enlarged,white_on_colour,reason
Abu Dhabi Department of Economic Development (DED),done,abu-dhabi-department-of-economic-development.png,Abu Dhabi Department of Economic Development,"Abu Dhabi Department of Economic Development (ADDED), UAE",official-site,https://www.added.gov.ae/-/media/DED/header-logo-new.png,True,False,Enlarged from the 274x68 header logo because it is the largest file the site has. Bilingual lockup with the Abu Dhabi emblem.
Abu Dhabi Department of Energy,done,abu-dhabi-department-of-energy.png,Abu Dhabi Department of Energy,"Department of Energy, Abu Dhabi, UAE",official-site,https://www.doe.gov.ae/-/media/Project/DOE/shared/Untitled.png,True,False,Enlarged from the 341x107 header logo because it is the largest file the site has.
Abu Dhabi Early Childhood Authority (ECA),done,abu-dhabi-early-childhood-authority.png,Abu Dhabi Early Childhood Authority,"Abu Dhabi Early Childhood Authority (ECA), UAE",official-site,https://www.eca.gov.ae/-/media/ECA/Identity/logo.webp,True,False,"The only colour logo is 113x70, so it was enlarged about 7 times and looks soft. It is legible, but a better file from ECA would be worth getting."
Abu Dhabi Executive Office,failed,,Abu Dhabi Executive Office,"Abu Dhabi Executive Office (ADEO), UAE",,,False,False,"There is still no Wikipedia page or Commons file for ADEO, and none of its possible domains (adeo.gov.ae, adeo.ae, executiveoffice.gov.ae) can be reached. Its only web presence is a topic page on the Abu Dhabi Media Office site, which is not ADEO's own site."
Abu Dhabi General Secretariat of the Executive Council,failed,,Abu Dhabi General Secretariat of the Executive Council,"General Secretariat of the Executive Council, Abu Dhabi, UAE (closed)",,,False,False,"The General Secretariat's own last logo is not on Wikimedia, ecouncil.ae redirects to abudhabi.gov.ae, and the Wayback Machine was offline. English Wikipedia does have a logo for the Abu Dhabi Executive Council itself (Logo_of_Abu_Dhabi_Executive_Council.jpg, 361x157, clipped at the right edge). That is a different body, so I did not use it; Will could choose to accept it."
Abu Dhabi Motorsport Management,done,ethara.png,Ethara,"Ethara (current operator of the former Abu Dhabi Motorsport Management), UAE",official-site,https://www.ethara.com/documents/265906/8344128/footer-logo.svg/8c057492-c509-6d45-399e-065085405b2e?version=1.0&t=1756208065198,False,True,"Ethara only publishes a white logo (bilingual SVG), so it sits on #1e1e1e, the charcoal Ethara uses behind its E icon."
Abu Dhabi Sports Council,failed,,Abu Dhabi Sports Council,"Abu Dhabi Sports Council (ADSC), UAE",,,False,False,"Neither the English nor the Arabic Wikipedia page has a logo, and Commons has none. adsc.gov.ae and adsc.ae still fail to connect through the proxy."
Adaa,done,adaa.png,Adaa,"National Center for Performance Measurement (Adaa), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/ar/0/09/%D8%B4%D8%B9%D8%A7%D8%B1_%D8%A3%D8%AF%D8%A7%D8%A1_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A.png,True,False,"Enlarged from the 199x77 Arabic Wikipedia logo. This version is Arabic-only. adaa.gov.sa still returns 403, so I could not check for a bilingual version."
Adam Smith International,failed,,Adam Smith International,"Adam Smith International, United Kingdom",,,False,False,"There is no Wikipedia logo or Commons file. adamsmithinternational.com still returns a SiteGround captcha for the page and its theme assets. A fetch that got past the captcha showed only certification badges, not the header logo."
Advising Families Across Generations (STEP),done,step.png,STEP,"STEP (Society of Trust and Estate Practitioners), United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/9/9a/Society_of_Trust_and_Estate_Practitioners_logo.jpg,True,False,The English Wikipedia page does have this logo (the first run missed it). Enlarged from 382x132; it includes the 'Advising Families Across Generations' strapline.
Air Partner,done,air-partner.png,Air Partner,"Air Partner (now part of Wheels Up), United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/APWU_interim_logo_horizontal_blue_296x76.png/330px-APWU_interim_logo_horizontal_blue_296x76.png,True,False,"Last logo Air Partner used, 'Air Partner, a Wheels Up company'. The original kept returning 429, so I used the Commons 330px thumbnail and enlarged it."
Ajman Public Transport Corporation,done,ajman-transport-authority.png,Ajman Transport Authority,"Transport Authority, Ajman (successor to Ajman Public Transport Corporation), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Ajman_Transport_Authority.png/330px-Ajman_Transport_Authority.png,True,False,"Successor link: the corporation's LinkedIn page (slug public-transport-corporation) is now 'Transport Authority', and the Authority runs Ajman's buses. The original 156x95 file returned 429, so I used the 330px thumbnail and enlarged it."
Akkök Holding,done,akkok-holding.png,Akkök Holding,"Akkök Holding A.Ş., Turkey",wikimedia,https://upload.wikimedia.org/wikipedia/commons/5/52/Akk%C3%B6k_Holding_logo.png,True,False,"The only file available is 72x123, so it was enlarged about 6.5 times and looks soft but legible. akkok.com.tr still fails TLS through the proxy."
Al Fahim,done,al-fahim.png,Al Fahim,"Al Fahim Group, UAE",official-site,https://alfahim.com/wp-content/uploads/2023/06/Logo.png,True,True,"The logo has an orange symbol with a white bilingual wordmark and no dark version, so it sits on the default #1f2a30 (the site shows no clear brand colour behind it). Enlarged from 168x60."
