match_name,decision,note
A 2 Z Express Services,no logo: individual or small local firm,
AAL Group,no logo: individual or small local firm,
ABB,source,
ABC,ask Will,Lebanese department store
AC,no logo: individual or small local firm,
ACCL International,no logo: individual or small local firm,
ACE Insurance Brokers,no logo: individual or small local firm,
ADDC,alias added,taqa.png
AES Electric,source,AES
AGIP,alias added,eni.png
AIS-R,no logo: individual or small local firm,
AL-TAWAIL Management Consulting & Training,no logo: individual or small local firm,
AMICO,ask Will,Saudi medical supplies firm
AMIT International,no logo: individual or small local firm,
ANDS Middle East,no logo: individual or small local firm,
APEC Training Center,no logo: individual or small local firm,
ASAAS,no logo: individual or small local firm,
Abdulkadir Al Muhaidib and Sons company,source,
Abeer Khamis Al Balushi,no logo: individual or small local firm,
Abraj Energy Services (ABRAJ),source,
Abu Dhabi Airports,source,
Abu Dhabi Council of Economic Development,ask Will,abolished Abu Dhabi body
Abu Dhabi Department of Community Development (DCD),source,
Abu Dhabi Department of Economic Development (DED),source,
Abu Dhabi Department of Energy,source,
Abu Dhabi Department of Finance,source,
Abu Dhabi Department of Urban Planning and Municipalities,alias added,abu-dhabi-dmt.png
Abu Dhabi Early Childhood Authority (ECA),source,
Abu Dhabi Education Council (ADEC),source,successor ADEK
"Abu Dhabi Education, Human Development and Community Development Council (EHCD)",source,
Abu Dhabi Executive Office,source,
Abu Dhabi General Secretariat of the Executive Council,source,
Abu Dhabi Motorsport Management,ask Will,now part of Ethara
Abu Dhabi Retirement Pensions and Benefits Fund,source,
Abu Dhabi Sports Council,source,
Abu Dhabi Systems and Information Center,ask Will,merged into Abu Dhabi digital government
Abu Dhabi Transmission & Despatch Company,alias added,taqa.png
Abu Dhabi University,source,
Acr,no logo: individual or small local firm,
Act center,no logo: individual or small local firm,
Action PR,no logo: individual or small local firm,
ActionAid,source,
Active PR,no logo: individual or small local firm,
AdVoice,no logo: individual or small local firm,
Adaa,source,
Adalid PR,no logo: individual or small local firm,
Adam Smith International,source,
Adamawa State Government,source,
Advising Families Across Generations (STEP),source,
Aerospace Holding,ask Will,"UAE, which company is unclear"
Afghanistan Civilian Technical Assistance Programme (CTAP),ask Will,programme
Afghanistan Government Media and Information Center (GMIC),ask Will,pre-2021 government
Afghanistan Independent Election Commission (IEC),ask Will,pre-2021 government
Afghanistan Ministry of Finance,ask Will,pre-2021 government
"Afghanistan Ministry of Labor, Social Affairs, Martyrs and Disabled",ask Will,pre-2021 government
Afghanistan National Assembly Upper House,ask Will,"pre-2021 government, dissolved"
Africa Communications,no logo: individual or small local firm,
African Field Epidemiology Network (AFENET),source,
Aftabnet Communication Group,no logo: individual or small local firm,
Aga Khan Development Network (AKDN),source,
Agencja Track Marek Dabrowski,no logo: individual or small local firm,
Agile Solutions,no logo: individual or small local firm,
Ahmed Saleh,no logo: individual or small local firm,
Air Astana,source,
Air Liquide,source,
Air Partner,source,
Airport International Group,source,
Ajman Public Transport Corporation,source,
Ajman Tourism Development Department,source,
Ajman University of Science and Technology,source,
Akcea Therapeutics UK,no logo: brand no longer trades,bought by Ionis
Akkök Holding,source,
Akron Trade and Transport,no logo: individual or small local firm,
Al Ain Holding,ask Will,UAE holding company
Al Ain Properties,no logo: individual or small local firm,
Al Ansari Advantage,no logo: individual or small local firm,
Al Arabi Travel Agency,no logo: individual or small local firm,
Al Fahim,source,
Al Fakher Tobacco Factory,source,
Al Hamar Gulf Est,no logo: individual or small local firm,
Al Hanoof Khalid Al Hazaani,no logo: individual or small local firm,
